artist,author,gernes,heart,name,star,view,words
N/A,風井明日香,"Comedy,Romance,Supernatural,Web Novel,Slice of Life", 614 ,"Mandarin Orange, Kotatsu, And A Found Cat",4.9,36519,28056
N/A,Serian,"Comedy,Fantasy,Historical,Josei,Korean Novel,Psychological,Romance,Shoujo", 55 ,Ốm đau ư? Cô vợ hợp đồng của công tước.,4.1,10448,27307
Fuumi,Natsunomi,"Comedy,Romance,School Life,Slice of Life", 2414 ,"Koibito Daikou wo hajimeta Ore, naze ka Bishoujo no Shimei Irai ga Haittekuru",4.9,284252,203751
N/A,Gennou Tomohiro,"One shot,Romance", 1 ,"Two Quarrelsome Childhood Friends Locked In A Room They Can’t Get Out Of Unless They’re Honest With Each Other, And After They Get Out Of The Room, They Start Dating.",0,21,2953
Toi8,門司柿家 ( Mojikakiya),"Comedy,Fantasy", 198 ,Boukensha ni Naritai to Miyako ni Deteitta Musume ga S Rank ni Natteta,5,37612,28303
Achiki [ Aちき ],Izumi [ 泉 ],"Action,Adapted to Manga,Comedy,Fantasy,Harem,Isekai,Magic,Romance,Shounen,Drama", 1135 ,Ore no Shibou Flag ga Todomaru Tokoro wo Shiranai,4.9,117953,96163
N/A,Agar Jelly / Kanten Jelly / 寒天ゼリヰ,"Action,Adventure,Comedy,Ecchi,Harem,Mecha,Science Fiction", 51 ,The Story of an Ace Pilot Who Is the Only Man in an Alien Army Where Chastity Has Been Reversed,4.8,1440,1777
たん旦; Tantan,氷高悠 ; Yuu Hidaka,"Comedy,Romance,School Life", 4574 ,My Plain-looking Fiancee is Secretly Sweet with me,4.9,1040894,123056
chibi,Kuji Furumiya,"Action,Adapted to Manga,Comedy,Fantasy,Romance", 380 ,Unnamed Memory,5,20819,113943
Chyko,Tsukikage,"Action,Adapted to Manga,Comedy,Fantasy,Harem", 1910 ,Nageki no Bourei wa Intai Shitai - Saijiyaku Hanta ni Yoru Saikiyou Patei Ikusei Jutsu,4.9,828489,557744
Eretto,Kionachi,"Comedy,Romance,School Life,Slice of Life", 386 ,Bokutachi no Remake,4.9,23367,98394
Huuka Kazabana,Toowa,"Action,Adapted to Manga,Adventure,Comedy,Romance,Seinen,Shounen,Harem", 731 ,The World's Strongest Rearguard Labyrinth Country's Novice Seeker,4.9,76954,171455
Kuroki,Korin-san,"Comedy,Romance,School Life,Slice of Life", 1399 ,Gái idol lớp tôi hôm nay lại hành động kỳ quặc nữa rồi!,4.9,144908,42304
N/A,凌石更 (Lăng Thạch Canh),"Chinese Novel,Comedy,Horror,Romance,Supernatural,Web Novel,Harem,Psychological", 807 ,RE:Yandere,4.8,268497,350514
Gin,Nahuse,"Action,Adventure,Fantasy,Mecha,Mystery,Science Fiction,Seinen,Supernatural", 302 ,Rebuild World,4.9,20237,66202
Suya Maromi,Nora Usagi,"Drama,Psychological,Romance,School Life", 552 ,"No One Believed Me. If You Say You Believe Me Now, It’s Too Late",4.9,17360,10376
Fame,Isshiki Ichika,"Action,Adventure,Drama,Fantasy,Harem,Mystery,Psychological,Romance,Seinen,Supernatural,Adapted to Manga,Web Novel,Magic,Super Power", 2642 ,Boushoku no Berserk ~ Ore dake Level to Iu Gainen wo Toppa Suru ~,4.9,446204,222015
TakayaKi,Kamishiro Kyousuke,"Adapted to Drama CD,Adapted to Manga,Comedy,Ecchi,Romance,School Life,Adapted to Anime,Drama", 3309 ,Mamahaha no Tsurego ga Motokano datta,4.9,820809,494467
N/A,Shinsyong,"Action,Adventure,Fantasy,Game,Korean Novel,Shounen,Supernatural,Web Novel", 516 ,Góc nhìn của Độc giả Toàn tri,4.9,98783,337934
N/A,Shio Konbu,"Comedy,Romance,School Life,Shounen", 243 ,"I was lied to by the most beautiful girl in my grade, so i decided to go out with her",4.8,7769,4276
sime,cadet,"Action,Drama,Fantasy,Romance,School Life,Seinen,Web Novel", 1793 ,"Ori of the Dragon Chain - ""Heart"" in the mind",4.8,333800,78982
Tomari,Sekaiichi,"Comedy,Drama,Harem,Romance,School Life,Slice of Life", 1008 ,"Không đời nào một thằng nhân vật phụ như tôi lại có thể nổi tiếng được, đúng chứ?",5,43258,53794
Takeshima Satoshi,Odou Akihiko,"Action,Comedy,Mystery,Romance,Supernatural,Tragedy", 130 ,Tiệm Đồ Cổ Tsukumodo: Ở đây chúng tôi bán những điều bí ẩn,4.9,9434,253648
N/A,叶 笑 (Ye Xiao),"Drama,Historical,Romance,Tragedy,Chinese Novel", 37 ,Khúc Vạn Trùng,5,5255,10302
Ochau (おちゃう),Toudai (灯台),"Adventure,Comedy,Fantasy,Harem,Isekai,Romance,Slice of Life", 418 ,"I Was Caught up in a Hero Summoning, but That World Is at Peace",5,11647,6162
이유 / eu,흙수저,"Action,Adventure,Comedy,Fantasy,Harem,Korean Novel,Mature,Psychological,Seinen", 200 ,Regressor Instruction Manual,4.7,25327,75138
Peachberry,Han Mint,"Fantasy,Josei,Mature,Romance,Tragedy,Korean Novel", 122 ,Ác nữ sống hai lần,4.5,33523,88957
clear,Sakuragi Sakura (桜木桜),"Comedy,Romance,School Life,Slice of Life", 3075 ,Omiai shitakunakatta node Murinandai na Jouken wo Tsuketara Doukyuusei ga Kita Ken ni tsuite,4.9,416846,93814
Nilitsu,Satou Mato,"Adventure,Fantasy,Yuri", 84 ,"Shokei Shoujo no Ikiru Michi ―Soshite, Kanojo wa Yomigaeru―",4.4,3354,5337
Tsurusaki Takahiro,Murasaki Yukiya,"Adventure,Ecchi,Harem,Isekai,Action,Comedy,Fantasy,Romance", 2176 ,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,4.9,583025,484648
Hitaki Yuu,Harunohi Biyori,"Drama,Fantasy,Magic,Otome Game,Adapted to Manga", 524 ,Strongest Survival by Otome Game’s Heroine,4.9,65755,97979
SUKJA,녹타,"Action,Fantasy,Korean Novel,Romance,Shoujo,Web Novel", 47 ,Nhật ký từ chức của thợ săn cấp bậc S,5,1894,1911
"티바, 쭈냐",유폴히,"Comedy,Fantasy,Korean Novel,Mystery,Romance,Shoujo,Supernatural,Adapted to Manga", 17 ,"Nói em nghe những điều anh nghĩ, hoàng tử của em",3.6,3394,11273
료,박미나,"Comedy,Korean Novel,Romance,Shoujo,Web Novel", 5 ,"Đến đây, bạo chúa",5,812,1335
Takubon,Totsuka Riku,"Comedy,Romance,School Life,Slice of Life", 1132 ,"Tôi biết sau khi tan học, nàng Thánh Nữ không chỉ cao quý thôi đâu",4.6,42579,30896
あやみ,斧名田マニマニ,"Comedy,Romance,School Life,Slice of Life", 1020 ,Can I Brag About My Very Devoted Wife to You?,4.9,82362,28407
Ririnra,Roy,"Action,Fantasy,Martial Arts,Shounen,Slice of Life", 462 ,Kamitachi ni Hirowareta Otoko (Re-edited),4.7,133365,303689
Chiri,Yousuke Tokino,"Action,Adventure,Comedy,Fantasy,Harem,Romance,Web Novel", 3971 ,"Seichou cheat de nan demo dekiru you ni nattaga, mushoku dake wa yamerarenai youdesu",4.8,1942414,471546
N/A,Nekoko,"Action,Adventure,Comedy,Fantasy,Slice of Life,Supernatural,Isekai,Drama,Suspense", 3619 ,Tensei shitara doragon no tamago datta ~ saikyō igai mezasane ~e ~,4.9,2847448,615793
Mirea (みれあ),Amai Kooto (雨井 呼音),"Fantasy,Incest,Isekai,Romance", 857 ,Oneechan to Isshoni Isekai wo Shihaishite Shiawase na Katei wo Kizukimasho?,5,19637,8772
N/A,Geunseo / 근서,"Action,Fantasy,Korean Novel,Shounen,Supernatural,Web Novel", 397 ,Cấp S Mà Tôi Nuôi Dưỡng,4.8,165540,220127
マッパニナッタ - Mappa ni Natta,くさもち - Kusamochi,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Martial Arts,Romance,Shounen,Web Novel", 530 ,"Power Harassment Seijo no Osananajimi to Zetsuen Shitara, Nanimokamo ga Umaku Iku You ni Natte Saikyou no Bouken-sha ni Natta ~ Tsuideni Yasashikute Kawaii Yome mo Takusan Dekita ~",4.9,19876,5919
Tetsuo (415),Mikage Eiji,"Drama,Mystery,Romance", 745 ,Utsuro no Hako to Zero no Maria,4.8,150519,333710
Uruu Gekka,Suzuki Daisuke,"Comedy,Harem,Incest,School Life,Romance", 180 ,Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne,5,52752,74943
N/A,HIRO,"Comedy,Drama,Harem,Romance,School Life,Shounen,Slice of Life,Web Novel", 72 ,Loner Harem Meister,5,9842,4174
N/A,富士田けやき,"Action,Drama,Mature,Psychological,Supernatural,Tragedy,Web Novel", 156 ,Tower of Karma,4.5,20031,11167
