artist,author,gernes,heart,name,star,view,words
N/A,월야-팬텀,"Action,Adventure,Comedy,Fantasy,Harem,Super Power,Supernatural,Web Novel", 840 ,Running Away From The Hero!,4.8,216239,46581
N/A,Onhu,"Action,Adventure,Fantasy,Mature,Psychological,Supernatural", 44 ,Dungeon Hunter,4.2,11541,5534
N/A,N/A,"Adventure,Drama,Romance,Slice of Life,Tragedy", 73 ,Những Mẫu Truyện Ngắn Tôi Dịch.,4.7,18332,17685
"Megumi Matsuda, Touko Shino",Natsu Hyuuga (日向夏),"Drama,Mystery,Romance,Seinen,Slice of Life,Web Novel", 229 ,Kusuriya no Hitorigoto,5,48635,33854
Sena Monako,Okazawa Juzen,"Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Harem,Romance", 879 ,Yonaoshi Ankoku Shin no Honsou –Ningen sukisugite ningen ni tensei shi ta–,4.8,247266,38083
Midorikawa You,Fast; fasuto(ファースト),"Action,Adult,Comedy,Ecchi,Harem,Mature,Romance,Seinen", 113 ,Bocchi Tenseiki,3.7,17523,4200
N/A,Watanabe Tsunehiko,"Adventure,Comedy,Fantasy,Romance,Slice of Life,Ecchi,Harem", 238 ,Risou no Himo Seikatsu,5,43088,73645
N/A,Lee Sungjin (성진저),"Action,Adventure,Fantasy", 48 ,One Man Army,5,12504,6049
Korie Riko,Tsukasa,"Fantasy,Harem,Action,Adventure,Ecchi,Supernatural", 289 ,Unlimited Fafnir,5,97069,431945
N/A,Ezo Gingitsune えぞぎんぎつね,"Action,Adventure,Fantasy", 239 ,Koko wa Ore ni Makasete Saki ni Ike to Itte kara 10 Nen ga Tattara Densetsu ni Natteita,4.8,46642,10355
Ichiri,Tsukiyo Rui,"Adventure,Comedy,Ecchi,Fantasy,Slice of Life,Adapted to Manga,Isekai,Shounen", 586 ,Slime Tensei. Taikensha ga Youjo Elf ni Dakishimeraretemasu,4.7,59629,39067
N/A,しっちぃ,"Shoujo ai,Slice of Life", 105 ,Me and my beloved cat (girlfriend),3.8,20261,9279
N/A,Ikkuiku,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Mystery,Romance,Shounen", 144 ,Monster Musume Harem wo Tsukurou!,5,18822,10012
UNKNOWN,とりまる,"Adventure,Ecchi,Fantasy,Gender Bender,Mature", 137 ,Elf-san with Master,4.3,22158,1646
N/A,Nam Hi-sung,"Action,Adventure,Comedy,Drama,Fantasy,School Life,Science Fiction,Romance", 1103 ,Legendary Moonlight Sculptor,4.9,2434534,2725961
Sakana,Nyun,"Comedy,Fantasy,School Life", 434 ,"Isekai ni Tensei Shitandakedo Ore, Tensai tte Kanchigai Saretenai ?",4.5,93981,30631
N/A,Kuro Inukami (黒犬神),"Adventure,Comedy,Fantasy,Harem,Shoujo,Shoujo ai,Web Novel", 171 ,Yuusha Ga Onna Da to Dame Desu Ka?,5,26510,5699
Mitsuki Yano,Touwa Akatsuki,"Action,Adventure,Comedy,Fantasy,Harem,Mature,Romance,Ecchi", 434 ,"Commushou no Ore ga, Koushou Skill ni Zenfurishite Tenseishita Kekka",4.5,46989,7177
Lack,Ido Masayoshi,"Action,Adventure,Fantasy,Romance", 541 ,Yobidasareta Satsuriku-sha,3.8,94839,56631
Katsumi Enami,Junpei Inuzuka,"Adventure,Fantasy,Mystery,Slice of Life", 61 ,Isekai Shokudou,5,10779,9367
N/A,글쟁이S,"Action,Adult,Adventure,Fantasy", 59 ,Hunter of the Ruined World,5,13590,8056
Eiri Shirai,Ao Jyumonji,"Action,Adventure,Drama,Fantasy,Romance,Tragedy", 380 ,Hai to Gensou no Grimgar,5,96684,97969
N/A,Kataoka Naotaro,"Action,Adventure,Comedy,Fantasy,Harem,Isekai,Slice of Life,Tragedy,Web Novel", 353 ,Reincarnation into the Barrier Master,4.4,80201,21121
N/A,九頭七尾,"Action,Comedy,Fantasy,One shot,Supernatural,Web Novel", 35 ,"Because My Toilet Turned Into a Dungeon, Taking Care of My Business Has Become too Difficult",4.8,17372,1995
Mahaya,Kamachi Kazuma,"Action,Comedy,Drama,Fantasy,Harem,Romance,Science Fiction,Shounen", 148 ,My Vampire Older Sister and Zombie Little Sister,4.5,15398,22258
N/A,Nanasawa Matari,"Action,Fantasy,Mature,Web Novel", 237 ,Shinigami wo Tabeta Shoujo,4.9,61410,139428
イセ川ヤスタカ,ちんくるり,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Web Novel", 442 ,Using Gacha to Increase My Companions and to Create the Strongest Girls’ Army Corps,4.6,76169,29845
N/A,철종금 / Cheol Jonggeum,"Action,Adventure,Drama,Fantasy,Psychological,Supernatural,Isekai,Web Novel", 282 ,I am the Monarch,4.8,109361,34921
Sazanami Mio,Kon Hoshizaki,"Adventure,Fantasy,Harem,Isekai,Web Novel", 237 ,Netooku Otoko no Tanoshii Isekai Boueki,5,25318,17341
Luna,Mishima Yomu,"Action,Adventure,Fantasy,Harem", 642 ,Dragoon,4.7,288993,83432
Yukino Amagai,Kasa Sakaki,"Action,Adventure,Comedy,Ecchi,Gender Bender,Harem,Mature,Romance,School Life,Supernatural", 334 ,Adolescent Adam,4.1,83884,42899
N/A,YOSHIOKA TSUYOSHI,"Action,Adventure,Fantasy,Romance,School Life,Shounen", 350 ,Magi's grandson,4.9,36059,31947
Không có,Makafushigi-man,"Adult,Drama,Mature,Netorare,Psychological,School Life", 120 ,Magic Warrior White・Love!,2.4,31932,20461
