artist,author,gernes,heart,name,star,view,words
Sakana,Nyun,"Comedy,Fantasy,School Life,Isekai", 559 ,"ISEKAI NI TENSEI SHITANDAKEDO ORE, TENSAI TTE KANCHIGAI SARETENAI ?",4.9,129217,110129
Fal Maro,Ishinomiya Kanto,"Adventure,Fantasy,Harem,Psychological,Science Fiction,Slice of Life,Supernatural", 1360 ,The Magus of Genesis,4.9,339502,168284
Kodama Yuu,Sorano Kazuki,"Adventure,Comedy,Fantasy,School Life,Romance", 783 ,Isekai Quest After School!,4.9,91200,34685
N/A,Steph,"Action,Adventure,Comedy,Romance,School Life,Science Fiction", 242 ,Real Cheat Online,4.7,31512,13734
東西,FUNA,"Action,Adventure,Fantasy,Isekai,Magic,Military", 357 ,Tiết kiệm 80000 đồng vàng ở thế giới khác để an dưỡng tuổi già.,4.9,69618,37713
Kochimo,Kamifuusen,"Action,Adventure,Fantasy,Isekai,Magic,Romance,Slice of Life,Web Novel", 287 ,Isekai ni Kita Boku wa Kiyoubinbode Subaya-sa Tayorina Tabi o Suru,4.8,27683,11000
Manyako,Kishimoto Kazuha,"Comedy,Fantasy,Harem,Romance,Slice of Life", 1029 ,"Shachiku Yuusha, shigoto yameru tte yo",4.9,102159,20535
Minamura Hallki,Kajii Takashi,"Comedy,Harem,Romance,School Life", 312 ,Boku no Imouto wa Kanji ga Yomeru,5,50842,114025
Kasukabe Akira,Sazane Kei,"Action,Drama,Fantasy,Romance,Harem,Seinen,Supernatural", 662 ,Hyouketsu Kyoukai no Eden,4.6,244775,469313
Mahaya; Nanao; 真早,Nakanomura Ayasuke,"Action,Adventure,Comedy,Fantasy,Seinen,Supernatural,Ecchi, Romance,Shounen,Web Novel,Harem,Isekai,Super Power", 3256 ,Kanna no Kanna,4.8,2249810,496502
N/A,Hattori Shozo,"Action,Adventure,Comedy,Fantasy,Harem,Romance,Shounen", 339 ,Hikikomori datta Otoko no Isekai Asashin Seikatsu,4.8,65419,14781
Shino,Mikawa Ghost,"Action,Comedy,Fantasy,School Life,Supernatural", 433 ,Risou no Musume nara Sekai Saikyou demo Kawaigatte kuremasuka?,4.9,57903,4233
N/A,綾崎オトイ,"Fantasy,One shot,Romance,Slice of Life,Web Novel", 46 ,Yopparai wo Hirotta Kanojo to Ibukuro wo Tsukamareta Otoko,4.7,14540,3472
Yukisan,Aloha Zachou,"Action,Adventure,Comedy,Fantasy,Game,Gender Bender", 157 ,Only Sense Online,5,23370,62910
Hisasi,Kineko Shibai,"Comedy,Ecchi,Game,Romance,School Life,Seinen,Slice of Life", 190 ,Netoge no Yome wa Onna no Ko ja nai to Omotta?,5,32275,24386
N/A,Korota,"Drama,Romance,Slice of Life,Shoujo ai", 148 ,Warm Place,5,51954,57275
Monda,"Mishima Yomu, Wai","Comedy,Isekai,Romance,School Life,Incest", 417 ,The World of Otome Games is Tough For Mobs,4.9,96495,15219
N/A,Toy Car/Toika (토이카),"Action,Adventure,Comedy,Isekai,Korean Novel,Super Power,Web Novel", 111 ,"Stop, Friendly Fire!",4.5,18952,9523
N/A,Jee Gab Song (지갑송 ),"Action,Adventure,Drama,Fantasy,Harem,Korean Novel,Mystery,Romance,Seinen,Supernatural,Web Novel", 201 ,A Monster Who Levels Up,3.9,44325,18044
Anais,Anais,"Historical,Korean Novel,Romance,Shounen ai", 19 ,Lệ Hồ,4.7,9542,8064
Douji Shiki,Shachi Sogano,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Isekai,Mature,Seinen,Slice of Life", 622 ,Isekai Meikyuu De Dorei Harem wo,4.5,107123,144366
Hinooka Shuuji ; 緋ノ丘シュウジ,Mitsuru Inoue ; Nyūsankin ; 乳酸菌,"Action,Adventure,Ecchi,Fantasy,Harem,Isekai,Mature,Romance,Supernatural,Web Novel", 971 ,Saikyou Girudo Masuta No Ichi Shuukan Kenkoku Ki,4.9,155602,69150
Nauribon,Guruguru Ma,"Adventure,Comedy,Fantasy,Romance,School Life", 587 ,"Buta Koushaku ni Tensei shita kara, Kondo wa Kimi ni Suki to Iitai",4.8,85480,33751
Sasorigatame,Minase Hazuki,"Action,Comedy,Ecchi,Fantasy,Romance,School Life,Shounen,Supernatural,Drama,Harem,Mystery,Super Power", 93 ,C3 CubexCursedxCurious,5,17958,30353
Buriki,Rakuda,"Comedy,Drama,Harem,Romance,School Life", 248 ,Ore wo Suki Nano wa Omae Dake ka yo,4.8,43812,7160
"Futaba Hazuki, 双葉はづき","Reia, 澪亜","Drama,Fantasy,Shoujo,Slice of Life,Web Novel", 281 ,Koushaku Reijou no Tashinami,4.2,57983,24350
Hiten,Saginomiya Misaki,"Drama,Romance,School Life", 142 ,Dokusha (boku) to Shujinkou (kanojo) to Futari no Korekara,4.9,13887,14959
N/A,안경원숭이,"Comedy,Fantasy,Isekai,Korean Novel,Shoujo,Web Novel", 184 ,Em Gái của Nhân Vật Chính,4.6,19980,7918
N/A,Phantom Of The Moonlit Night 월야-팬텀,"Action,Adventure,Comedy,Fantasy,Seinen,Slice of Life", 302 ,Running Away From The Hero! (Remake),4.6,37270,23007
Hanekoto,Southernterrace,"Harem,Supernatural,Action,Fantasy,Comedy,Slice of Life,Web Novel", 2006 ,Class ga isekai shoukan sareta naka ore dake nokottan desu ga,4.9,700018,157965
N/A,Thái Trí Hằng (蔡智恆),"Comedy,Drama,Harem,Romance,School Life", 79 ,ANIMA,4.5,64420,109194
Cinkai,Tayama Shouta (田山翔太),"Comedy,Drama,Fantasy,Psychological,Romance,Harem", 277 ,Instant Messiah,4.9,37198,18232
Nagishiro Mito,Yatsuhashi Kou,"Adventure,Comedy,Drama,Fantasy", 363 ,Oujo Denka wa Oikari no You desu,4.8,34911,4991
Youta,Namekojirushi,"Action,Ecchi,Fantasy,Harem,School Life,Romance,Super Power", 351 ,Izure Shinwa no Houkago Sensou,5,49362,61899
